ЛЮЙЯ;116,6707227;;;;;;;
ЛХМ;56,97882161;;;;;;;
;;;;;;;;
#;V;T1;T2;;;;;
3,70;66,77381836;кнфэ;кнфэ;6;;;;
3,73;65,33430013;кнфэ;кнфэ;7;;;;
3,77;62,12470052;кнфэ;кнфэ;8;;;;
3,80;61,1850944;кнфэ;кнфэ;9;;;;
3,83;60,13716146;кнфэ;кнфэ;10;;;;
3,87;61,46015625;кнфэ;кнфэ;11;;;;
3,90;61,17179036;кнфэ;кнфэ;12;;;;
3,93;59,5416862;кнфэ;кнфэ;13;;;;
3,97;59,91396159;кнфэ;кнфэ;14;;;;
4,00;61,28619792;кнфэ;кнфэ;15;;;;
4,03;70,1085319;кнфэ;кнфэ;16;;;;
4,07;80,5666569;кнфэ;кнфэ;17;;;;
4,10;84,89381185;кнфэ;кнфэ;18;;;;
4,13;90,04969076;кнфэ;кнфэ;19;;;;
4,17;97,45585612;кнфэ;кнфэ;20;;;;
4,20;114,8856836;хярхмю;кнфэ;21;;;;
4,23;95,67445638;кнфэ;кнфэ;1;;;;
4,27;89,2685319;кнфэ;кнфэ;2;;;;
4,30;84,15621745;кнфэ;кнфэ;3;;;;
4,33;79,29456055;кнфэ;кнфэ;4;;;;
4,37;69,45944336;кнфэ;кнфэ;5;;;;
4,40;66,43358073;кнфэ;кнфэ;6;;;;
4,43;65,18037109;кнфэ;кнфэ;7;;;;
4,47;61,48649089;кнфэ;кнфэ;8;;;;
4,50;62,08237956;кнфэ;кнфэ;9;;;;
4,53;59,81840169;кнфэ;кнфэ;10;;;;
4,57;62,49955078;кнфэ;кнфэ;11;;;;
4,60;61,19035156;кнфэ;кнфэ;12;;;;
4,63;60,17254557;кнфэ;кнфэ;13;;;;
4,67;60,67178711;кнфэ;кнфэ;14;;;;
4,70;63,01823568;кнфэ;кнфэ;15;;;;
4,73;76,28070313;кнфэ;кнфэ;16;;;;
4,77;82,45957682;кнфэ;кнфэ;17;;;;
4,80;85,86339193;кнфэ;кнфэ;18;;;;
4,83;91,15072266;кнфэ;кнфэ;19;;;;
4,87;105,8418294;кнфэ;кнфэ;20;;;;
4,90;114,2401823;хярхмю;кнфэ;21;;;;
4,93;94,76189128;кнфэ;кнфэ;1;;;;
4,97;89,25703125;кнфэ;кнфэ;2;;;;
5,00;85,14610677;кнфэ;кнфэ;3;;;;
5,03;80,60179036;кнфэ;кнфэ;4;;;;
5,07;70,26733073;кнфэ;кнфэ;5;;;;
5,10;66,97181641;кнфэ;кнфэ;6;;;;
5,13;65,18993815;кнфэ;кнфэ;7;;;;
5,17;61,48530924;кнфэ;кнфэ;8;;;;
5,20;62,03522786;кнфэ;кнфэ;9;;;;
5,23;59,76866862;кнфэ;кнфэ;10;;;;
5,27;62,69523112;кнфэ;кнфэ;11;;;;
5,30;61,01998047;кнфэ;кнфэ;12;;;;
5,33;60,17050781;кнфэ;кнфэ;13;;;;
5,37;60,55689128;кнфэ;кнфэ;14;;;;
5,40;63,38108724;кнфэ;кнфэ;15;;;;
5,43;76,61158529;кнфэ;кнфэ;16;;;;
5,47;82,29859375;кнфэ;кнфэ;17;;;;
5,50;87,63599609;кнфэ;кнфэ;18;;;;
5,53;93,33812174;кнфэ;кнфэ;19;;;;
5,57;111,8403613;хярхмю;кнфэ;20;;;;
5,60;110,8869173;;кнфэ;21;;;;
5,63;95,52636719;кнфэ;кнфэ;1;;;;
5,67;90,55373372;кнфэ;кнфэ;2;;;;
5,70;82,86825521;кнфэ;кнфэ;3;;;;
5,73;74,39291016;кнфэ;кнфэ;4;;;;
5,77;65,74801758;кнфэ;кнфэ;5;;;;
5,80;64,92216471;кнфэ;кнфэ;6;;;;
5,83;63,21606445;кнфэ;кнфэ;7;;;;
5,87;60,32765625;кнфэ;кнфэ;8;;;;
5,90;60,37278646;кнфэ;кнфэ;9;;;;
5,93;58,95974935;кнфэ;хярхмю;10;;;;
5,97;60,61929688;кнфэ;кнфэ;11;;;;
6,00;58,42918294;кнфэ;хярхмю;12;;;;
6,03;57,80160482;кнфэ;хярхмю;13;;;;
6,07;58,5008431;кнфэ;хярхмю;14;;;;
6,10;62,87347331;кнфэ;кнфэ;15;;;;
6,13;76,54989909;кнфэ;кнфэ;16;;;;
6,17;81,7614974;кнфэ;кнфэ;17;;;;
6,20;86,01954102;кнфэ;кнфэ;18;;;;
6,23;91,74655599;кнфэ;кнфэ;19;;;;
6,27;112,1141536;хярхмю;кнфэ;20;;;;
6,30;98,1021224;кнфэ;кнфэ;21;;;;
6,33;89,44855143;кнфэ;кнфэ;1;;;;
6,37;85,66500326;кнфэ;кнфэ;2;;;;
6,40;81,14982096;кнфэ;кнфэ;3;;;;
6,43;70,26061849;кнфэ;кнфэ;4;;;;
6,47;64,65851563;кнфэ;кнфэ;5;;;;
6,50;63,2182194;кнфэ;кнфэ;6;;;;
6,53;60,11079427;кнфэ;кнфэ;7;;;;
6,57;58,56383789;кнфэ;хярхмю;8;;;;
6,60;57,77053711;кнфэ;хярхмю;9;;;;
6,63;58,35436849;кнфэ;хярхмю;10;;;;
6,67;58,71171875;кнфэ;хярхмю;11;;;;
6,70;56,97882161;кнфэ;хярхмю;12;;;;
6,73;57,18048177;кнфэ;хярхмю;13;;;;
6,77;58,54869466;кнфэ;хярхмю;14;;;;
6,80;64,58678385;кнфэ;кнфэ;15;;;;
6,83;76,89486979;кнфэ;кнфэ;16;;;;
6,87;82,59360677;кнфэ;кнфэ;17;;;;
6,90;87,70626953;кнфэ;кнфэ;18;;;;
6,93;94,08192057;кнфэ;кнфэ;19;;;;
6,97;112,6279948;хярхмю;кнфэ;20;;;;
7,00;97,09817383;кнфэ;кнфэ;21;;;;
7,03;88,73773112;кнфэ;кнфэ;1;;;;
7,07;84,10803711;кнфэ;кнфэ;2;;;;
7,10;79,4144401;кнфэ;кнфэ;3;;;;
7,13;69,92629883;кнфэ;кнфэ;4;;;;
7,17;65,47685872;кнфэ;кнфэ;5;;;;
7,20;64,00997721;кнфэ;кнфэ;6;;;;
7,23;60,64204102;кнфэ;кнфэ;7;;;;
7,27;60,44034831;кнфэ;кнфэ;8;;;;
7,30;58,39465495;кнфэ;хярхмю;9;;;;
7,33;60,46251953;кнфэ;кнфэ;10;;;;
7,37;59,60482096;кнфэ;кнфэ;11;;;;
7,40;58,50538411;кнфэ;хярхмю;12;;;;
7,43;58,98966797;кнфэ;кнфэ;13;;;;
7,47;61,15801432;кнфэ;кнфэ;14;;;;
7,50;72,10680339;кнфэ;кнфэ;15;;;;
7,53;80,2886556;кнфэ;кнфэ;16;;;;
7,57;84,57470052;кнфэ;кнфэ;17;;;;
7,60;90,11213542;кнфэ;кнфэ;18;;;;
7,63;102,9265951;кнфэ;кнфэ;19;;;;
7,67;113,1051986;хярхмю;кнфэ;20;;;;
7,70;96,47739583;кнфэ;кнфэ;21;;;;
7,73;88,89581055;кнфэ;кнфэ;1;;;;
7,77;84,60292643;кнфэ;кнфэ;2;;;;
7,80;78,93536133;кнфэ;кнфэ;3;;;;
7,83;69,50416016;кнфэ;кнфэ;4;;;;
7,87;65,61554036;кнфэ;кнфэ;5;;;;
7,90;63,75406576;кнфэ;кнфэ;6;;;;
7,93;60,20718424;кнфэ;кнфэ;7;;;;
7,97;60,48088216;кнфэ;кнфэ;8;;;;
8,00;58,37313802;кнфэ;хярхмю;9;;;;
8,03;60,46518555;кнфэ;кнфэ;10;;;;
8,07;59,45418945;кнфэ;кнфэ;11;;;;
8,10;58,71126302;кнфэ;хярхмю;12;;;;
8,13;59,18826497;кнфэ;кнфэ;13;;;;
8,17;62,2936556;кнфэ;кнфэ;14;;;;
8,20;75,27015951;кнфэ;кнфэ;15;;;;
8,23;81,94430664;кнфэ;кнфэ;16;;;;
8,27;85,91931315;кнфэ;кнфэ;17;;;;
8,30;91,19466797;кнфэ;кнфэ;18;;;;
8,33;109,0916504;;кнфэ;19;;;;
8,37;109,1684896;хярхмю;кнфэ;20;;;;
8,40;94,6405306;кнфэ;кнфэ;21;;;;
8,43;88,23833008;кнфэ;кнфэ;1;;;;
8,47;83,70765299;кнфэ;кнфэ;2;;;;
8,50;75,98383138;кнфэ;кнфэ;3;;;;
8,53;68,30366862;кнфэ;кнфэ;4;;;;
8,57;65,56094076;кнфэ;кнфэ;5;;;;
8,60;63,24672852;кнфэ;кнфэ;6;;;;
8,63;60,57282878;кнфэ;кнфэ;7;;;;
8,67;60,44503581;кнфэ;кнфэ;8;;;;
